Loaded summary from lodopab_out/summary.json
IMG_SIZE=362, NUM_ANGLES=1000, DET_COUNT=513, PHI=[-1.0471975511965976, 1.0471975511965976]
BETA (mean y_diff_norms) = 8.358424e-01
[init=tv | dpnsn] epoch 023/50 | train=0.000299 | val=0.000337
[init=tv | dpnsn] epoch 024/50 | train=0.000296 | val=0.000334
[init=tv | dpnsn] epoch 025/50 | train=0.000292 | val=0.000333
[init=tv | dpnsn] epoch 026/50 | train=0.000289 | val=0.000333
[init=tv | dpnsn] epoch 027/50 | train=0.000286 | val=0.000331
[init=tv | dpnsn] epoch 028/50 | train=0.000283 | val=0.000329
[init=tv | dpnsn] epoch 029/50 | train=0.000280 | val=0.000328
[init=tv | dpnsn] epoch 030/50 | train=0.000277 | val=0.000328
[init=tv | dpnsn] epoch 031/50 | train=0.000274 | val=0.000326
[init=tv | dpnsn] epoch 032/50 | train=0.000272 | val=0.000328
[init=tv | dpnsn] epoch 033/50 | train=0.000271 | val=0.000324
[init=tv | dpnsn] epoch 034/50 | train=0.000267 | val=0.000323
[init=tv | dpnsn] epoch 035/50 | train=0.000265 | val=0.000324
[init=tv | dpnsn] epoch 036/50 | train=0.000263 | val=0.000321
[init=tv | dpnsn] epoch 037/50 | train=0.000262 | val=0.000325
[init=tv | dpnsn] epoch 038/50 | train=0.000260 | val=0.000323
[init=tv | dpnsn] epoch 039/50 | train=0.000258 | val=0.000321
[init=tv | dpnsn] epoch 040/50 | train=0.000256 | val=0.000320
[init=tv | dpnsn] epoch 041/50 | train=0.000254 | val=0.000320
[init=tv | dpnsn] epoch 042/50 | train=0.000254 | val=0.000319
[init=tv | dpnsn] epoch 043/50 | train=0.000251 | val=0.000317
[init=tv | dpnsn] epoch 044/50 | train=0.000250 | val=0.000320
[init=tv | dpnsn] epoch 045/50 | train=0.000250 | val=0.000322
[init=tv | dpnsn] epoch 046/50 | train=0.000246 | val=0.000317
[init=tv | dpnsn] epoch 047/50 | train=0.000245 | val=0.000318
[init=tv | dpnsn] epoch 048/50 | train=0.000244 | val=0.000316
[init=tv | dpnsn] epoch 049/50 | train=0.000243 | val=0.000317
[init=tv | dpnsn] epoch 050/50 | train=0.000241 | val=0.000316
[init=tv | dpnsn] best val=0.000316 saved to runs_lodopab/init_tv/checkpoints/dpnsn_best.pt
[init=tv | dpnsn] example saved to runs_lodopab/init_tv/examples/dpnsn_example.png
[init=tv | dpnsn_res] epoch 001/50 | train=0.002681 | val=0.001092
[init=tv | dpnsn_res] epoch 002/50 | train=0.001010 | val=0.000906
[init=tv | dpnsn_res] epoch 003/50 | train=0.000855 | val=0.000774
[init=tv | dpnsn_res] epoch 004/50 | train=0.000724 | val=0.000672
[init=tv | dpnsn_res] epoch 005/50 | train=0.000630 | val=0.000603
[init=tv | dpnsn_res] epoch 006/50 | train=0.000580 | val=0.000552
[init=tv | dpnsn_res] epoch 007/50 | train=0.000543 | val=0.000519
[init=tv | dpnsn_res] epoch 008/50 | train=0.000505 | val=0.000497
[init=tv | dpnsn_res] epoch 009/50 | train=0.000489 | val=0.000536
[init=tv | dpnsn_res] epoch 010/50 | train=0.000472 | val=0.000512
[init=tv | dpnsn_res] epoch 011/50 | train=0.000452 | val=0.000446
[init=tv | dpnsn_res] epoch 012/50 | train=0.000438 | val=0.000456
[init=tv | dpnsn_res] epoch 013/50 | train=0.000420 | val=0.000460
[init=tv | dpnsn_res] epoch 014/50 | train=0.000408 | val=0.000427
[init=tv | dpnsn_res] epoch 015/50 | train=0.000393 | val=0.000390
[init=tv | dpnsn_res] epoch 016/50 | train=0.000385 | val=0.000389
[init=tv | dpnsn_res] epoch 017/50 | train=0.000388 | val=0.000384
[init=tv | dpnsn_res] epoch 018/50 | train=0.000375 | val=0.000393
[init=tv | dpnsn_res] epoch 019/50 | train=0.000361 | val=0.000375
[init=tv | dpnsn_res] epoch 020/50 | train=0.000358 | val=0.000368
[init=tv | dpnsn_res] epoch 021/50 | train=0.000350 | val=0.000354
[init=tv | dpnsn_res] epoch 022/50 | train=0.000342 | val=0.000353
[init=tv | dpnsn_res] epoch 023/50 | train=0.000338 | val=0.000355
[init=tv | dpnsn_res] epoch 024/50 | train=0.000332 | val=0.000357
[init=tv | dpnsn_res] epoch 025/50 | train=0.000328 | val=0.000341
[init=tv | dpnsn_res] epoch 026/50 | train=0.000322 | val=0.000340
[init=tv | dpnsn_res] epoch 027/50 | train=0.000317 | val=0.000333
[init=tv | dpnsn_res] epoch 028/50 | train=0.000314 | val=0.000339
[init=tv | dpnsn_res] epoch 029/50 | train=0.000308 | val=0.000331
[init=tv | dpnsn_res] epoch 030/50 | train=0.000305 | val=0.000337
[init=tv | dpnsn_res] epoch 031/50 | train=0.000301 | val=0.000324
[init=tv | dpnsn_res] epoch 032/50 | train=0.000296 | val=0.000327
[init=tv | dpnsn_res] epoch 033/50 | train=0.000294 | val=0.000323
[init=tv | dpnsn_res] epoch 034/50 | train=0.000290 | val=0.000319
[init=tv | dpnsn_res] epoch 035/50 | train=0.000288 | val=0.000322
[init=tv | dpnsn_res] epoch 036/50 | train=0.000285 | val=0.000317
[init=tv | dpnsn_res] epoch 037/50 | train=0.000283 | val=0.000315
[init=tv | dpnsn_res] epoch 038/50 | train=0.000280 | val=0.000315
[init=tv | dpnsn_res] epoch 039/50 | train=0.000277 | val=0.000313
[init=tv | dpnsn_res] epoch 040/50 | train=0.000273 | val=0.000312
[init=tv | dpnsn_res] epoch 041/50 | train=0.000271 | val=0.000312
[init=tv | dpnsn_res] epoch 042/50 | train=0.000269 | val=0.000312
[init=tv | dpnsn_res] epoch 043/50 | train=0.000266 | val=0.000311
[init=tv | dpnsn_res] epoch 044/50 | train=0.000264 | val=0.000305
[init=tv | dpnsn_res] epoch 045/50 | train=0.000264 | val=0.000319
[init=tv | dpnsn_res] epoch 046/50 | train=0.000260 | val=0.000306
